filename,university_id,country_code,region,long_name,info_page_id,ranking,housing,campus
uni-data\data\belgium-brussel.md,iche,BEL,"Brussels","ICHEC Brussels Management School","belgium-brussel",nothing,"Available",single
uni-data\data\belgium-leuven.md,ku_leuven,BEL,"Leuven, Brussel","KU Leuven","belgium-leuven",nothing,"Available",multiple
uni-data\data\canada-ecole.md,new_ets,CAN,"Montreal, Quebec","Ecole de technolgie superieure","canada-ecole",nothing,"Available",single
uni-data\data\canada-hec.md,hec_monteral,CAN,"Montreal","HEC Montréal","canada-hec",nothing,"Available",single
uni-data\data\canada-manitoba.md,uni_manitoba,CAN,"Winnipeg, Manitoba","University of Manitoba","canada-manitoba",nothing,"Available",single
uni-data\data\canada-newfoundland.md,uni_newfoundland,CAN,"St. John's, Newfoundland",Memorial University of Newfoundland,"canada-newfoundland",nothing,"Available",single
uni-data\data\canada-okanagan.md,okanagan_collage,CAN,"Okanagan Valley, British Columbia",Okanagan College,"canada-okanagan",nothing,"Available",single
uni-data\data\canada-saska.md,uni_saskatchewan,CAN,"Saskatoon, Saskatchewan",University of Saskatchewan,"canada-saska",nothing,"Available",single
uni-data\data\canada-toronto.md,uni_toronto,CAN,"Toronto, Ontario",University of Toronto,"canada-toronto",nothing,"Available",single
uni-data\data\hk-baptist.md,hkbu,HKG,"Kowloon Tong, Hong Kong",Hong Kong Baptist University,"hk-baptist",nothing,"Available",single
uni-data\data\hk-hongkong.md,cityu,HKG,"Kowloon, Hong Kong",City University of Hong Kong,"hk-hongkong",nothing,"Available",single
uni-data\data\hk-polytech.md,polyu,HKG,"Hung Hom, Kowloon, Hong Kong",Hong Kong Polytechnic University,"hk-polytech",nothing,"Available",single
uni-data\data\italy-foscari.md,unive,ITA,"Venice","Ca' Foscari University of Venice","italy-foscari",nothing,"Available",single
uni-data\data\italy-polytech.md,polimi,ITA,"Milan",Politecnico di Milano,italy-polytech,nothing,Available,single
uni-data\data\italy-verona.md,univr,ITA,"Verona",University of Verona,italy-verona,nothing,Available,single
uni-data\data\italy-luav.md,uni_venice,ITA,"Venice",Iuav University of Venice,"italy-luav",nothing,"Available",single
uni-data\data\japan-aoyoma.md,aoyama,JPN,"Tokyo",Aoyama Gakuin University,japan-aoyoma,nothing,Available,single
uni-data\data\japan-chuo.md,chuo,JPN,"Tokyo",Chuo University,japan-chuo,nothing,Available,single
uni-data\data\japan-daito.md,daito,JPN,"Tokyo",Daito Bunka University,japan-daito,nothing,Available,single
uni-data\data\japan-hitot.md,hito,JPN,"Tokyo",Hitotsubashi University,japan-hitot,nothing,Available,single
uni-data\data\japan-kyoto.md,kyoto_uni,JPN,"Kyoto",Kyoto University,japan-kyoto,nothing,Available,single
uni-data\data\japan-kyushu.md,kyushu,JPN,"Fukuoka",Kyushu University,japan-kyushu,nothing,Available,single
uni-data\data\japan-nagasaki.md,nagasaki,JPN,"Nagasaki","Nagasaki University",japan-nagasaki,nothing,Available,single
uni-data\data\japan-nagoya.md,nagoya,JPN,"Nagoya",Nagoya University,japan-nagoya,nothing,Available,single
uni-data\data\japan-nishoga.md,nishogakusha,JPN,"Tokyo",Nishogakusha University,japan-nishoga,nothing,Available,single
uni-data\data\japan-okayama.md,okayama,JPN,"Okayama",Okayama University,japan-okayama,nothing,Available,single
uni-data\data\japan-ritsumeikan.md,ritsumei,JPN,"Kyoto",Ritsumeikan University,japan-ritsumeikan,nothing,Available,single
uni-data\data\japan-soka.md,soka,JPN,"Tokyo",Soka University,japan-soka,nothing,Available,single
uni-data\data\japan-toyo.md,toyo,JPN,"Tokyo",Toyo University,japan-toyo,nothing,Available,single
uni-data\data\japan-waseda.md,waseda_uni,JPN,"Tokyo",Waseda University,"japan-waseda",nothing,"Available",multiple
uni-data\data\nether-amsterdam.md,vunl,NLD,"Amsterdam",Vrije Universiteit Amsterdam,"nether-amsterdam",nothing,Available,single
